filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K
F=textblob-extra_T=freq_GROUP=40_K=5,2.1046133691203397,0.0397752579930949,1,0.0263878588088322,0.0255095159393181,0.0014851991591119,0.0017376437144191,"[0.0235, 0.0293]","[0.0221, 0.0289]","['F=textblob-extra', 'T=freq', 'GROUP=40', 'K=5']",textblob-extra,freq,40,5
F=textblob-extra_T=freq_GROUP=45_K=100,2.7550877655121484,0.0078313306411203,1,0.0244377459352679,0.023092188402421,0.0018463896949429,0.001935611321322,"[0.0208, 0.0281]","[0.0193, 0.0269]","['F=textblob-extra', 'T=freq', 'GROUP=45', 'K=100']",textblob-extra,freq,45,100
F=textblob-extra_T=freq_GROUP=45_K=1000,5.249807056961934,2.5590752691275197e-06,1,0.0254518781248589,0.0229565847340689,0.001598186369691,0.0020550984133322,"[0.0223, 0.0286]","[0.0189, 0.0270]","['F=textblob-extra', 'T=freq', 'GROUP=45', 'K=1000']",textblob-extra,freq,45,1000
F=textblob-extra_T=freq_GROUP=45_K=5,2.010950731296159,0.049100869061427,1,0.0234877471265455,0.0225073311607578,0.0020301888659562,0.0017346895254645,"[0.0195, 0.0275]","[0.0191, 0.0259]","['F=textblob-extra', 'T=freq', 'GROUP=45', 'K=5']",textblob-extra,freq,45,5
F=textblob-extra_T=freq_GROUP=50_K=100,4.536115441441521,2.9853361075774488e-05,1,0.0220254416310386,0.0199705194483053,0.0018559714474508,0.0016468183924717,"[0.0184, 0.0257]","[0.0167, 0.0232]","['F=textblob-extra', 'T=freq', 'GROUP=50', 'K=100']",textblob-extra,freq,50,100
F=textblob-extra_T=freq_GROUP=50_K=1000,4.857586891247999,9.764214439811262e-06,1,0.0229940506792346,0.0205803713049666,0.0020682327397822,0.0017689999099064,"[0.0189, 0.0270]","[0.0171, 0.0240]","['F=textblob-extra', 'T=freq', 'GROUP=50', 'K=1000']",textblob-extra,freq,50,1000
F=textblob-extra_T=freq_GROUP=50_K=5,3.2594206223212727,0.001898546287865,1,0.021925043212949,0.0205147744369427,0.0015166738000618,0.0018209673131657,"[0.0190, 0.0249]","[0.0169, 0.0241]","['F=textblob-extra', 'T=freq', 'GROUP=50', 'K=5']",textblob-extra,freq,50,5
F=textblob-extra_T=freq_GROUP=55_K=100,5.41029335101892,1.290359426796826e-06,1,0.0203330226567463,0.0183605556073218,0.0014945839849416,0.0013242750612983,"[0.0174, 0.0233]","[0.0158, 0.0210]","['F=textblob-extra', 'T=freq', 'GROUP=55', 'K=100']",textblob-extra,freq,55,100
F=textblob-extra_T=freq_GROUP=55_K=1000,4.593082827545685,2.675719252080223e-05,1,0.0203675416906735,0.0182923765448513,0.0019810446931133,0.001482976755527,"[0.0165, 0.0243]","[0.0154, 0.0212]","['F=textblob-extra', 'T=freq', 'GROUP=55', 'K=1000']",textblob-extra,freq,55,1000
F=textblob-extra_T=freq_GROUP=55_K=5,2.9004771942567587,0.0052582240238879,1,0.0195597696260228,0.0183689399229599,0.0016196957778333,0.0015599532394262,"[0.0164, 0.0227]","[0.0153, 0.0214]","['F=textblob-extra', 'T=freq', 'GROUP=55', 'K=5']",textblob-extra,freq,55,5
F=textblob-extra_T=freq_GROUP=5_K=100,11.917569812242707,3.864915639813926e-17,1,0.2130241998627798,0.1996736391091904,0.0045816886111171,0.0040812234973516,"[0.2040, 0.2220]","[0.1917, 0.2077]","['F=textblob-extra', 'T=freq', 'GROUP=5', 'K=100']",textblob-extra,freq,5,100
F=textblob-extra_T=freq_GROUP=5_K=1000,13.9549875170063,6.83651500775017e-20,1,0.2169966419778567,0.1993952199302878,0.0053163805877701,0.0044116219284376,"[0.2066, 0.2274]","[0.1907, 0.2080]","['F=textblob-extra', 'T=freq', 'GROUP=5', 'K=1000']",textblob-extra,freq,5,1000
